"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","geometry"
"VZS_SAUM","Saumackerstrasse","","Y2H20011946","2996","Uetliberg","Bahnhof Altstetten","20200214000000","97","POINT (2679339.2 1249346.2)"
"VZS_LUXG","Lux-Guyer-Weg","","Y2H19101198","2997","Innenstadt","Wipkingen","20200214000000","98","POINT (2682933.2 1248820.9)"
"FZS_ARBO","Arboretum","","U15G3063865","1357","Stadtgrenze","Innenstadt","20160722000000","99","POINT (2682973 1246328.9)"
"VZS_LANS","Langstrasse (Unterführung Süd)","","Y2H16039396","3277","Limmatplatz","Helvetiaplatz","20180627000000","100","POINT (2682296 1248311.1)"
"VZS_BINZ","Binzmühlestrasse","","ECO09113500","2979","Oerlikon","Glaubtenstrasse","20190619000000","101","POINT (2681857.8 1251990.6)"
"FZS_HARD","Hardeggsteg","","U15G3063873","2985","Kloster-Fahr-Weg","Hardturmstrasse","20191004000000","102","POINT (2680439.2 1249929.5)"
"VZS_LANN","Langstrasse (Unterführung Nord)","20170908000000","Y2G13013264","1997","Helvetiaplatz","Limmatplatz","20170725000000","103","POINT (2682278 1248324.9)"
"FZS_KATZ","Katzenbach","20191123000000","YPH15108550","2957","Affoltern","Seebach","20171129000000","104","POINT (2681402 1253279.9)"
"VZS_ANDR","Andreasstrasse","","Y2H19090841","2986","Oerlikon","Wallisellen","20191011000000","105","POINT (2684577.5 1251966.2)"
"FZS_WEIN","Weinbergfussweg","","U15G3063872","2998","Polyterrasse","Hauptbahnhof","20200409000000","106","POINT (2683511.8 1248166)"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","20170313000000","YCH16121210","1682","Bellevue","Bürkliplatz","20170113000000","107","POINT (2683403.2 1246821.1)"
"FZS_LANN","Langstrasse (Unterführung Nord)","","U15G3063870","2961","Limmatplatz","Helvetiaplatz","20180413000000","108","POINT (2682322 1248435.1)"
"FZS_HARD","Hardeggsteg","20190401000000","U15G3063873","3922","Kloster-Fahr-Weg","Hardturmstrasse","20190116000000","109","POINT (2680439 1249929.9)"
"VZS_HARN","Hardbrücke Nord (Seite Altstetten)","","Y2H16069942","732","Escher-Wyss-Platz","Hardplatz","20160707000000","110","POINT (2681319.5 1248665.2)"
