date,count
2020-02-05 00,4.27
2020-02-05 01,2.96
2020-02-05 02,1.49
2020-02-05 03,1.27
2020-02-05 04,1.79
2020-02-05 05,3.02
2020-02-05 06,10.14
2020-02-05 07,31.89
2020-02-05 08,63.94
2020-02-05 09,52.56
2020-02-05 10,24.86
2020-02-05 11,20.13
2020-02-05 12,22.93
2020-02-05 13,24.26
2020-02-05 14,19
2020-02-05 15,21.25
2020-02-05 16,29.8
2020-02-05 17,42.79
2020-02-05 18,50.45
2020-02-05 19,35.88
2020-02-05 20,24.13
2020-02-05 21,18.1
2020-02-05 22,13.04
2020-02-05 23,9.69
2020-02-06 00,5.77
2020-02-06 01,3.1
2020-02-06 02,2.05
2020-02-06 03,1.11
2020-02-06 04,2.15
2020-02-06 05,2.77
2020-02-06 06,9.57
2020-02-06 07,29.88
2020-02-06 08,61.95
2020-02-06 09,53.15
2020-02-06 10,25.08
2020-02-06 11,20.25
2020-02-06 12,22.38
2020-02-06 13,24.77
2020-02-06 14,21.17
2020-02-06 15,23.01
2020-02-06 16,30.39
2020-02-06 17,44.89
2020-02-06 18,48.02
2020-02-06 19,33.32
2020-02-06 20,23.45
2020-02-06 21,18.55
2020-02-06 22,13.75
2020-02-06 23,9.38
2020-02-07 00,5.45
2020-02-07 01,2.68
2020-02-07 02,1.63
2020-02-07 03,1.64
2020-02-07 04,2.11
2020-02-07 05,2.6
2020-02-07 06,9.42
2020-02-07 07,26.19
2020-02-07 08,57.5
2020-02-07 09,49.2
2020-02-07 10,25.62
2020-02-07 11,20.86
2020-02-07 12,26.14
2020-02-07 13,25.61
2020-02-07 14,23.17
2020-02-07 15,25.88
2020-02-07 16,33.64
2020-02-07 17,46.69
2020-02-07 18,41.79
2020-02-07 19,30.49
2020-02-07 20,20.79
2020-02-07 21,15
2020-02-07 22,12.12
2020-02-07 23,11.57
2020-02-08 00,8.54
2020-02-08 01,6.17
2020-02-08 02,3.85
2020-02-08 03,2.94
2020-02-08 04,2.07
2020-02-08 05,1.63
2020-02-08 06,2.21
2020-02-08 07,4.38
2020-02-08 08,10.45
2020-02-08 09,16.8
2020-02-08 10,23.38
2020-02-08 11,28.98
2020-02-08 12,31.77
2020-02-08 13,32.89
2020-02-08 14,34.24
2020-02-08 15,36.44
2020-02-08 16,36.75
2020-02-08 17,29.31
2020-02-08 18,21.99
2020-02-08 19,20.37
2020-02-08 20,15.07
2020-02-08 21,12.38
2020-02-08 22,10.89
2020-02-08 23,10.43
2020-02-09 00,10.11
2020-02-09 01,7.2
2020-02-09 02,5.11
2020-02-09 03,4.1
2020-02-09 04,2.12
2020-02-09 05,2.76
2020-02-09 06,1.52
2020-02-09 07,2.64
2020-02-09 08,5.24
2020-02-09 09,8.95
2020-02-09 10,11.13
2020-02-09 11,12.85
2020-02-09 12,11.67
2020-02-09 13,7.58
2020-02-09 14,7.95
2020-02-09 15,9.19
2020-02-09 16,8.21
2020-02-09 17,8.96
2020-02-09 18,9.06
2020-02-09 19,8.44
2020-02-09 20,8
2020-02-09 21,5.95
2020-02-09 22,4.95
2020-02-09 23,3.82
2020-02-10 00,2.63
2020-02-10 01,1.06
2020-02-10 02,0.46
2020-02-10 03,0.69
2020-02-10 04,1.06
2020-02-10 05,2.61
2020-02-10 06,8.81
2020-02-10 07,24.63
2020-02-10 08,55.51
2020-02-10 09,46.39
2020-02-10 10,22.04
2020-02-10 11,18.27
2020-02-10 12,19.99
2020-02-10 13,17.77
2020-02-10 14,14.4
2020-02-10 15,16.17
2020-02-10 16,21.24
2020-02-10 17,41.1
2020-02-10 18,31.31
2020-02-10 19,27.18
2020-02-10 20,20.2
2020-02-10 21,14.92
2020-02-10 22,9.24
2020-02-10 23,4.63
2020-02-11 00,3.32
2020-02-11 01,1.96
2020-02-11 02,1.23
2020-02-11 03,0.57
2020-02-11 04,1.45
2020-02-11 05,2.15
2020-02-11 06,9.96
2020-02-11 07,30.4
2020-02-11 08,62.92
2020-02-11 09,49.15
2020-02-11 10,22.52
2020-02-11 11,16.57
2020-02-11 12,20.54
2020-02-11 13,20.51
2020-02-11 14,17.74
2020-02-11 15,18.82
2020-02-11 16,28.4
2020-02-11 17,44.07
2020-02-11 18,49.9
2020-02-11 19,33.11
2020-02-11 20,22.56
2020-02-11 21,17.95
2020-02-11 22,10.52
2020-02-11 23,6.32
2020-02-12 00,4.27
