id,name,village,lon,lat
306,Rathbone Street,Fitzrovia,-0.135025,51.518162
307,Black Lion Gate,Kensington Gardens,-0.187842,51.509908
308,Long Lane,Bermondsey,-0.085666,51.499075
309,Embankment (Savoy),Strand,-0.119047,51.509631
310,Black Prince Road,Vauxhall,-0.116911,51.490867
311,Foley Street,Fitzrovia,-0.140485,51.519181
312,Grove End Road,St. John's Wood,-0.17677,51.530889
313,Wells Street,Fitzrovia,-0.138072,51.517344
314,Tyers Gate,Bermondsey,-0.083159,51.500889
315,The Tennis Courts,The Regent's Park,-0.153463,51.525367
316,Warwick Row,Westminster,-0.14296,51.497998
317,Dickens Square,Borough,-0.093913,51.496791
318,Sackville Street,Mayfair,-0.138846,51.510048
319,Baldwin Street,St. Luke's,-0.088542,51.527025
320,Queen Mother Sports Centre,Victoria,-0.139956,51.493573
321,Bermondsey Street,Bermondsey,-0.081608,51.497855
322,Palissy Street,Shoreditch,-0.073955,51.526293
323,Clifton Street,Shoreditch,-0.083067,51.523196
324,Ontario Street,Elephant & Castle,-0.101384,51.49652
325,St. Martin's Street,West End,-0.129697,51.509087
326,Graham Street,Angel,-0.099981,51.532661
327,New North Road 1,Hoxton,-0.085603,51.53095
328,New North Road 2,Hoxton,-0.086016,51.53114
329,Prince Albert Road,The Regent's Park,-0.160854,51.535892
330,Eastbourne Mews,Paddington,-0.179135,51.516417
331,Bunhill Row,Moorgate,-0.089887,51.520858
332,Nevern Place,Earl's Court,-0.194757,51.493343
333,Palace Gardens Terrace,Notting Hill,-0.193764,51.508605
334,Concert Hall Approach 1,South Bank,-0.115851,51.505044
335,Tavistock Street,Covent Garden,-0.120718,51.511968
336,Concert Hall Approach 2,South Bank,-0.115533,51.504942
337,Pembridge Villas,Notting Hill,-0.197524,51.511084
338,Wellington Street,Strand,-0.119643,51.511756
339,Risinghill Street,Angel,-0.111781,51.533319
340,Bank of England Museum,Bank,-0.087587,51.514441
341,Craven Street,Strand,-0.126021,51.508103
343,London Zoo Car Park,The Regent's Park,-0.150181,51.536922
344,Goswell Road (City Uni),Finsbury,-0.101026,51.528246
345,Flood Street,Chelsea,-0.166878,51.488023
347,Lower Marsh,Waterloo,-0.113936,51.500139
348,Grosvenor Square,Mayfair,-0.150481,51.51217
