date,avg(count)
2020-02-12T15,14.475
2020-02-12T16,17.7
2020-02-12T17,54.575
2020-02-12T18,91.45
2020-02-12T19,25
2020-02-12T20,97.1
2020-02-12T21,63.675
2020-02-12T22,10.85
2020-02-12T23,10.9
2020-02-13T00,24.525
2020-02-13T01,17.3
2020-02-13T02,6.825
2020-02-13T03,4.95
2020-02-13T04,1.9
2020-02-13T05,4.625
2020-02-13T06,10.625
2020-02-13T07,31.8
2020-02-13T08,119.525
2020-02-13T09,48.975
2020-02-13T10,144.775
2020-02-13T11,9.575
2020-02-13T12,25.45
2020-02-13T13,11.4
2020-02-13T14,13.8
2020-02-13T15,16
2020-02-13T16,12.55
2020-02-13T17,36.325
2020-02-13T18,67.875
2020-02-13T19,23.675
2020-02-13T20,60.725
2020-02-13T21,40.55
2020-02-13T22,11.325
2020-02-13T23,8.325
2020-02-14T00,20.325
2020-02-14T01,11.675
2020-02-14T02,7.75
2020-02-14T03,4.85
2020-02-14T04,2.3
2020-02-14T05,3.75
2020-02-14T06,10.375
2020-02-14T07,38.25
2020-02-14T08,133.175
2020-02-14T09,40.35
2020-02-14T10,124.05
2020-02-14T11,19.85
2020-02-14T12,21.975
2020-02-14T13,12.275
2020-02-14T14,12.575
2020-02-14T15,16.65
2020-02-14T16,21.475
2020-02-14T17,58.55
2020-02-14T18,51.3
2020-02-14T19,36.9
2020-02-14T20,74.875
2020-02-14T21,47.55
2020-02-14T22,13.275
2020-02-14T23,12
