station_id,station_name,description,lat,lon
Saint-Gervais,Tiron - Rivoli,Saint-Gervais,48.85569225,2.357905805
Saint-Vincent-de-Paul,Gare du Nord - La Chapelle,Saint-Vincent-de-Paul,48.88417829,2.356105708
Saint-Merri,Saint-Bon - Rivoli,Saint-Merri,48.85799964,2.350217281
Plaisance,Château - Place de Catalogne,Plaisance,48.83681393,2.318669111
Père-Lachaise,Mûriers - Père Lachaise,Père-Lachaise,48.86413051,2.391649821
Charonne,Pyrénées - Cours de Vincennes,Charonne,48.84779678,2.406172156
Salpêtrière,Duméril - Jeanne d'Arc,Salpêtrière,48.83815161,2.35710845
Madeleine,Rome - Provence,Madeleine,48.87423006,2.325570112
Picpus,Porte de Charenton,Picpus,48.83124011,2.398910746
Saint-Victor,Lacépède - Monge,Saint-Victor,48.84389287,2.351966389
Invalides,Las Cases - Bourgogne,Invalides,48.8590911,2.318568528
Gare,Regnault - Patay,Gare,48.82435782,2.377065159
Saint-Georges,Douai - Bruxelles,Saint-Georges,48.88320784,2.330844995
Saint-Germain-l'Auxerrois,Quai de l'Horloge - Pont Neuf,Saint-Germain-l'Auxerrois,48.85705874,2.341798284
Europe,Lisbonne - Monceau,Europe,48.87745568,2.309694221
Faubourg-Montmartre,Rossini - Laffitte,Faubourg-Montmartre,48.87334628,2.337980868
Belleville,Pyrénées - Emmery,Belleville,48.87201028,2.392039597
Grenelle,Desaix - Edgar Faure,Grenelle,48.8528046,2.29307703
Père-Lachaise,Repos - Cimetière du Père Lachaise,Père-Lachaise,48.85935852,2.389613137
Villette,Seine - Flandre,Villette,48.88678574,2.37461932
Combat,Laumière - Petit,Combat,48.88467369,2.380039059
Villette,Flandre - Riquet,Villette,48.88801328,2.373759596
Grenelle,Dupleix - du Guesclin,Grenelle,48.8514791,2.29670953
Sainte-Marguerite,Alexandre Dumas - Voltaire,Sainte-Marguerite,48.85288867,2.389147641
Villette,Quai de la Loire - Jean Jaurès,Villette,48.88339734,2.371074523
Charonne,Charonne - Avron,Charonne,48.85160267,2.398403047
Amérique,Petit - Manin,Amérique,48.88650688,2.39381554
Plaine de Monceaux,Parc Monceau,Plaine de Monceaux,48.88107791,2.309549265
Saint-Fargeau,Haxo - Surmelin,Saint-Fargeau,48.86943708,2.405396575
Chaussée-d'Antin,Provence - Chaussée d'Antin,Chaussée-d'Antin,48.87428448,2.332976512
Goutte-d'Or,Square Léon,Goutte-d'Or,48.88667397,2.353205569
Porte-Saint-Martin,Place Jacques Bonsergent,Porte-Saint-Martin,48.87094822,2.361204922
Halles,Pont Neuf - Rivoli,Halles,48.86008989,2.34405756
Saint-Lambert,Mairie du 15ème,Saint-Lambert,48.8417762,2.2986539
Saint-Vincent-de-Paul,Gare de l'Est - Chateau Landon,Saint-Vincent-de-Paul,48.879305,2.362424
Faubourg-Montmartre,Mairie du 9ème,Faubourg-Montmartre,48.87326714,2.340753448
Gare,Boutroux - Porte de Vitry,Gare,48.822632,2.377738
Amérique,Alexander Fleming - Belvédère,Amérique,48.88179064,2.403059938
Montparnasse,Santé - Arago,Montparnasse,48.83507658,2.341573726
Chaillot,Longchamp - Place d'Iéna,Chaillot,48.86491723,2.292674817
Quinze-Vingts,Gare de Lyon - Van Gogh,Quinze-Vingts,48.84383979,2.370445024
Jardin-des-Plantes,Censier - Santeuil,Jardin-des-Plantes,48.84065892,2.353752404
Charonne,Vitruve - Davout,Charonne,48.86053161,2.409159281
Saint-Merri,Lobau - Hôtel de Ville,Saint-Merri,48.8562118,2.3532536
Petit-Montrouge,Jourdan - Monticelli,Petit-Montrouge,48.822032,2.329095
Necker,Vaugirard - Pasteur,Necker,48.84040869,2.315436713
Pont-de-Flandre,Quai de l'Oise - Aisne,Pont-de-Flandre,48.8906231,2.3833701
Grandes-Carrières,Clichy - Douai,Grandes-Carrières,48.88411832,2.328728735
Bel-Air,Picpus - Louis Braille,Bel-Air,48.83998879,2.400525669
Picpus,Madagascar - Meuniers,Picpus,48.83460464,2.397065051
Porte-Dauphine,Raymond Poincaré - Place Victor Hugo,Porte-Dauphine,48.87030612,2.285074541
Pont-de-Flandre,Square Claude Bernard,Pont-de-Flandre,48.89876016,2.375325747
Sainte-Marguerite,Jules Vallès - Charonne,Sainte-Marguerite,48.85428438,2.384767458
Jardin-des-Plantes,Epée de Bois - Mouffetard,Jardin-des-Plantes,48.84150869,2.350066714
Clignancourt,Place des Abbesses,Clignancourt,48.88454273,2.338686772
Gaillon,Louis le Grand - Italiens,Gaillon,48.87050894,2.334054462
Bel-Air,Cours de Vincennes - Soult,Bel-Air,48.84691876,2.410522029
Amérique,Solitaires - Place des Fêtes,Amérique,48.876601,2.391769
Sainte-Marguerite,Place de la Nation - Taillebourg,Sainte-Marguerite,48.8488408,2.3973043
Muette,Siam - La Pompe,Muette,48.86172033,2.275346569
Saint-Lambert,Dantzig - Lefebvre,Saint-Lambert,48.83013922,2.295934036
Faubourg-du-Roule,Colisée - Champs-Elysées,Faubourg-du-Roule,48.8704754,2.30761908
Bercy,Mairie du 12ème,Bercy,48.84085531,2.387554944
Montparnasse,Cassini - Denfert-Rochereau,Montparnasse,48.83752584,2.336035408
Porte-Saint-Denis,Mazagran - Bonne Nouvelle,Porte-Saint-Denis,48.870278,2.351281
Rochechouart,Tour d'Auvergne - Rodier,Rochechouart,48.879161,2.343698
Hôpital-Saint-Louis,Alexandre Parodi - Quai de Valmy,Hôpital-Saint-Louis,48.87935942,2.366596162
Necker,Vigée-Lebrun - Anselme Payen,Necker,48.83868394,2.311042249
Javel,Henry Farman,Javel,48.8337243,2.271385454
Champs-Elysées,Place de la Reine Astrid,Champs-Elysées,48.86492098,2.302549182
Saint-Lambert,Lecourbe - Jean Maridor,Saint-Lambert,48.83796366,2.287739217
Chaillot,Galilée - Kléber,Chaillot,48.86741187,2.29078138
Porte-Dauphine,Sablons - Georges Mandel,Porte-Dauphine,48.863875,2.28189
Combat,Villette - Belleville,Combat,48.87268773,2.376461327
Auteuil,Théophile Gautier - François Millet,Auteuil,48.85034821,2.273029983
Pont-de-Flandre,Flandre - Alphonse Karr,Pont-de-Flandre,48.89465,2.381868
Hôpital-Saint-Louis,Parmentier - Hôpital Saint-Louis,Hôpital-Saint-Louis,48.87137987,2.369896384
Epinettes,Fragonard - Porte de Clichy,Epinettes,48.89415563,2.314389311
Saint-Lambert,Place Charles Vallin,Saint-Lambert,48.83552381,2.302598655
Saint-Fargeau,Evariste Galois,Saint-Fargeau,48.87308754,2.413338013
Belleville,Parc de Belleville - Julien Lacroix,Belleville,48.8703459,2.3842214
Maison-Blanche,Place Jean Delay,Maison-Blanche,48.823316,2.354336
Rochechouart,Bellefond - Maubeuge,Rochechouart,48.8782554,2.345264219
Picpus,Diderot - Pierre Bourdan,Picpus,48.84764862,2.390258275
Saint-Thomas-d'Aquin,Villersexel - Saint-Germain,Saint-Thomas-d'Aquin,48.858297,2.323793471
Javel,Parc André Citroën,Javel,48.84063994,2.278061807
Invalides,Quai Anatole France - Musée d'Orsay,Invalides,48.86121174,2.324246094
Muette,Paul Doumer - La Tour,Muette,48.86011611,2.280840482
Hôpital-Saint-Louis,Claude Vellefaux - Sambre et Meuse,Hôpital-Saint-Louis,48.875022,2.370478
Maison-Blanche,Italie - Tolbiac,Maison-Blanche,48.82498014,2.357884994
Montparnasse,Gare Montparnasse - Edgar Quinet,Montparnasse,48.84148785,2.323323228
Val-de-Grâce,Jean Calvin - Tournefort,Val-de-Grâce,48.84158857,2.348489575
Faubourg-du-Roule,Hoche - Tilsitt,Faubourg-du-Roule,48.87483646,2.297132313
Maison-Blanche,Glacière - Soeur Catherine Marie,Maison-Blanche,48.82952299,2.343570404
Gros-Caillou,Place Joffre - Frédéric le Play,Gros-Caillou,48.85375449,2.304424234
Porte-Saint-Denis,Paradis - Hauteville,Porte-Saint-Denis,48.87499995,2.35227574
Sorbonne,Ecoles - Carmes,Sorbonne,48.84890445,2.34734863
Europe,Alfred de Vigny - Place du Général Brocard,Europe,48.87836138,2.305254448
